date,sentiment_score_model
29/11/2017 19:48,0.6503
30/11/2017 02:41,0.5149
30/11/2017 14:24,0.1246
30/11/2017 14:37,0.6425
30/11/2017 15:52,0.681
30/11/2017 16:37,0.6503
30/11/2017 20:50,0.9174
30/11/2017 20:59,0.225
30/11/2017 23:53,0.3347
01/12/2017 00:14,0.6632
01/12/2017 01:11,0.6885
01/12/2017 02:23,0.617
01/12/2017 07:52,0.6777
01/12/2017 13:00,0.6822
04/12/2017 03:27,0.7283
04/12/2017 22:01,0.1473
06/12/2017 17:16,0.8725
06/12/2017 21:43,0.8725
06/12/2017 21:48,0.43
08/12/2017 09:55,0.6906
08/12/2017 13:30,0.8251
13/12/2017 14:19,0.5368
13/12/2017 14:59,0.5135
13/12/2017 15:46,0.4617
13/12/2017 22:25,0.5166
14/12/2017 20:11,0.6446
14/12/2017 22:54,0.6446
15/12/2017 00:06,0.5019
15/12/2017 09:53,0.3075
15/12/2017 12:57,0.9274
15/12/2017 16:10,0.9332
15/12/2017 17:22,0.6544
15/12/2017 18:35,0.5487
18/12/2017 08:14,0.7757
18/12/2017 12:00,0.6323
18/12/2017 19:25,0.6259
19/12/2017 21:49,0.4299
20/12/2017 16:09,0.7682
20/12/2017 17:05,0.4929
21/12/2017 13:15,0.727
21/12/2017 13:46,0.5464
22/12/2017 17:16,0.5891
26/12/2017 15:32,0.5447
28/12/2017 14:12,0.8754
28/12/2017 19:49,0.3402
29/12/2017 13:20,0.5515
29/12/2017 19:03,0.5395
29/12/2017 20:25,0.4067
29/12/2017 21:12,0.4067
29/12/2017 23:21,0.5395
30/12/2017 00:24,0.4324
02/01/2018 18:02,0.7347
03/01/2018 21:48,0.8101
04/01/2018 13:06,0.7751
05/01/2018 15:10,0.8692
09/01/2018 01:08,0.4078
09/01/2018 18:25,0.3777
09/01/2018 19:52,0.3777
10/01/2018 11:19,0.7585
11/01/2018 12:44,0.4201
13/01/2018 03:30,0.4799
16/01/2018 14:07,0.4837
16/01/2018 18:25,0.7502
17/01/2018 20:14,0.2566
18/01/2018 11:37,0.6421
18/01/2018 14:11,0.5963
18/01/2018 14:13,0.4896
18/01/2018 16:16,0.6349
18/01/2018 21:52,0.6068
18/01/2018 23:34,0.6684
19/01/2018 00:05,0.2648
19/01/2018 14:08,0.5876
19/01/2018 14:27,0.5464
19/01/2018 15:06,0.6407
19/01/2018 18:06,0.5231
19/01/2018 22:30,0.8573
22/01/2018 13:18,0.6702
22/01/2018 20:09,0.7124
22/01/2018 21:15,0.927
23/01/2018 07:32,0.7764
23/01/2018 17:33,0.622
29/01/2018 12:00,0.6065
29/01/2018 12:04,0.838
30/01/2018 12:08,0.4682
30/01/2018 12:22,0.2507
30/01/2018 13:18,0.7157
30/01/2018 14:02,0.2786
30/01/2018 15:58,0.159
30/01/2018 17:42,0.6065
30/01/2018 20:15,0.8201
31/01/2018 01:00,0.8201
31/01/2018 02:52,0.3738
31/01/2018 12:44,0.9123
01/02/2018 21:08,0.9031
01/02/2018 21:21,0.4808
02/02/2018 01:21,0.9121
02/02/2018 13:29,0.8414
02/02/2018 13:56,0.7546
02/02/2018 20:22,0.9439
02/02/2018 20:22,0.4546
05/02/2018 05:28,0.7953
05/02/2018 11:26,0.8953
07/02/2018 16:56,0.5218
07/02/2018 20:39,0.5344
08/02/2018 06:40,0.4205
09/02/2018 16:57,0.4355
09/02/2018 19:14,0.5055
09/02/2018 19:27,0.5552
09/02/2018 19:29,0.8875
09/02/2018 21:57,0.582
09/02/2018 22:06,0.5222
09/02/2018 22:13,0.4598
12/02/2018 13:22,0.1517
12/02/2018 16:46,0.7834
12/02/2018 17:07,0.6332
12/02/2018 18:32,0.5075
12/02/2018 21:04,0.8158
14/02/2018 12:00,0.4169
14/02/2018 18:57,0.7562
14/02/2018 20:12,0.2836
14/02/2018 22:12,0.6358
14/02/2018 23:02,0.4233
15/02/2018 03:01,0.5558
15/02/2018 16:58,0.7342
15/02/2018 19:01,0.5839
15/02/2018 21:07,0.7274
15/02/2018 22:27,0.5977
16/02/2018 01:04,0.2432
16/02/2018 05:28,0.7274
16/02/2018 14:13,0.5163
19/02/2018 10:01,0.2409
20/02/2018 13:21,0.6282
20/02/2018 18:57,0.2752
21/02/2018 17:12,0.4472
22/02/2018 14:51,0.4251
22/02/2018 14:58,0.4939
22/02/2018 17:57,0.5236
23/02/2018 17:22,0.4773
26/02/2018 14:03,0.4962
26/02/2018 22:44,0.6334
26/02/2018 23:19,0.6047
27/02/2018 02:30,0.8194
27/02/2018 14:07,0.2851
27/02/2018 21:02,0.6298
27/02/2018 21:34,0.6971
28/02/2018 07:10,0.5506
28/02/2018 10:11,0.4698
28/02/2018 11:26,0.635
28/02/2018 20:50,0.5748
01/03/2018 16:15,0.7646
04/03/2018 12:56,0.8205
05/03/2018 12:12,0.4125
05/03/2018 12:50,0.4788
05/03/2018 15:09,0.4896
05/03/2018 17:27,0.8263
06/03/2018 06:08,0.4515
06/03/2018 21:00,0.8345
07/03/2018 23:34,0.5925
08/03/2018 14:56,0.3097
08/03/2018 20:44,0.7177
08/03/2018 20:48,0.7605
08/03/2018 21:13,0.7605
09/03/2018 01:13,0.7916
10/03/2018 01:09,0.829
12/03/2018 15:43,0.5128
13/03/2018 09:41,0.7424
13/03/2018 11:01,0.7424
